Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S124980173,Canada Goose,Branta canadensis,324,30,US-DC,District of Columbia,L718768,Theodore Roosevelt Island,38.8964407,-77.0639175,2022-12-31,10:47 AM,eBird - Traveling Count,59,1,2.805,,2
S125095158,Canada Goose,Branta canadensis,324,40,US-DC,District of Columbia,L208382,West Potomac Park--Tidal Basin,38.8842907,-77.044711,2023-01-01,12:10 PM,eBird - Casual Observation,,0,,,1
S116297688,Canada Goose,Branta canadensis,324,9,US-NE,Douglas,L20414809,Maria’s,41.246503,-96.207589,2022-08-03,10:18 AM,eBird - Casual Observation,,0,,,1
S116326121,Canada Goose,Branta canadensis,324,14,US-NE,Douglas,L348314,Zorinsky Lake,41.2206244,-96.1722131,2022-08-04,10:37 AM,eBird - Traveling Count,56,1,3.478,,2
S79903913,Canada Goose,Branta canadensis,324,55,US-NY,Erie,L13393102,"1000 E Niagara St, Tonawanda US-NY 43.01921, -78.85358",43.019209,-78.85358,2021-01-25,04:46 PM,eBird - Stationary Count,8,1,,,2
S78965204,Canada Goose,Branta canadensis,324,24,US-NY,Erie,L13220157,"11178–11302 Miland Rd, Akron US-NY 43.04943, -78.56724",43.049433,-78.567236,2021-01-09,04:59 PM,eBird - Stationary Count,30,1,,,2
S83264867,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L14006375,"217–229 Saratoga Rd, Buffalo US-NY (42.9524,-78.7905)",42.952382,-78.790486,2021-03-12,01:25 PM,eBird - Traveling Count,18,1,1.096,,1
S77386146,Canada Goose,Branta canadensis,324,18,US-NY,Erie,L358312,Amherst Bike Path,42.9991704,-78.7678313,2020-12-12,12:32 PM,eBird - Traveling Count,57,1,4.136,,2
S69152851,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-05-13,08:44 AM,eBird - Traveling Count,95,0,3.456,,2
S69365498,Canada Goose,Branta canadensis,324,2,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-05-20,08:25 AM,eBird - Traveling Count,123,0,48.28,,2,F Flyover
S73455216,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-09-11,08:33 AM,eBird - Traveling Count,144,1,4.385,,1
S73492311,Canada Goose,Branta canadensis,324,3,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-09-12,07:48 AM,eBird - Traveling Count,134,1,2.887,,2
S74130827,Canada Goose,Branta canadensis,324,10,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-09-27,08:12 AM,eBird - Traveling Count,106,1,2.276,,2
S74455279,Canada Goose,Branta canadensis,324,8,US-NY,Erie,L207674,Amherst SP (formerly Glen Park),42.9703531,-78.7483286,2020-10-05,09:14 AM,eBird - Traveling Count,160,1,3.581,,2
